DBN,School Name,NumberofTestTakers,CriticalReadingMean,MathematicsMean,WritingMean
21K337,International High School at LaFayette ,Medio,355,395,355
21K344,Rachel Carson High School for Coastal Studies ,Medio,422,459,418
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT ,Medio,370,427,381
21K400,LAFAYETTE HIGH SCHOOL ,Medio,327,367,315
21K410,ABRAHAM LINCOLN HIGH SCHOOL ,Alto,386,429,385
21K412/21K411,YABC AT ABRAHAM LINCOLN HIGH SCHOOL ,Bajo,,,
21K525,EDWARD R MURROW HIGH SCHOOL ,Alto,472,503,468
21K540,JOHN DEWEY HIGH SCHOOL ,Alto,414,465,396
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUS ,Bajo,,,
21K572,Expeditionary Learning Sch for Community Leaders ,Bajo,,,
21K620,William E. Grady Vocational Technical High School ,Medio,385,393,361
21K690,BROOKLYN STUDIO SECONDARY SCH ,Medio,426,419,418
21K728,Liberation Diploma Plus High School ,Bajo,402,351,380
22K405,Midwood High School at Brooklyn College ,Alto,493,543,491
22K425,JAMES MADISON HIGH SCHOOL ,Alto,449,478,445
22K495,SHEEPSHEAD BAY HIGH SCHOOL ,Alto,380,416,380
22K535,LEON M GOLDSTEIN HIGH SCHOOL ,Alto,543,578,559
22K555,Brooklyn College Academy High School ,Alto,459,460,446
23K493,BROOKLYN COLLEGIATE ,Medio,394,372,375
23K514,Frederick Douglass Academy VII High School ,Medio,416,396,414
23K643,Brooklyn Democracy Academy ,Bajo,347,371,323
23K645,EBC High School for Public Service - East New York ,Bajo,376,358,368
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL ,Medio,349,329,341
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL ,Bajo,385,378,391
23K697,TEACHERS PREPARATORY SCHOOL ,Medio,396,389,389
24Q264,ACADEMY OF FINANCE AND ENTERPRISE ,Medio,407,432,417
24Q267,High School of Applied Communication ,Medio,411,420,407
24Q293,Civic Leadership Academy ,Bajo,,,
24Q296,Pan American International High School ,Bajo,,,
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II ,Medio,545,548,541
24Q455,NEWTOWN HIGH SCHOOL ,Alto,379,427,372
24Q485,GROVER CLEVELAND HIGH SCHOOL ,Alto,398,431,391
24Q520,MIDDLE COLLEGE HIGH SCHOOL ,Medio,386,402,373
